Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/02/2022,ICF,93.5,95.01,95.01,93.19,1.70K,-3.79%
09/01/2022,ICF,97.18,99.9,99.99,92.01,7.47K,12.35%
08/29/2022,ICF,86.5,84.51,86.5,84.51,0.12K,1.18%
08/26/2022,ICF,85.49,84.68,85.5,84.01,1.51K,0.94%
08/24/2022,ICF,84.69,84.7,84.7,83.49,0.93K,2.53%
08/23/2022,ICF,82.6,84.5,84.83,82.25,0.18K,-2.82%
08/22/2022,ICF,85,85,85,84.5,0.09K,-0.47%
08/18/2022,ICF,85.4,85.17,85.4,84.01,0.08K,-0.12%
08/17/2022,ICF,85.5,85.02,85.5,85,0.16K,0.12%
08/16/2022,ICF,85.4,86,86,85.4,0.07K,-0.12%
08/15/2022,ICF,85.5,85.11,86.5,85.1,0.12K,-0.47%
08/12/2022,ICF,85.9,85.31,86,85,0.13K,-0.12%
08/11/2022,ICF,86,85.99,86.5,85.9,0.05K,0.00%
08/10/2022,ICF,86,87,87,86,0.27K,0.00%
08/09/2022,ICF,86,85.5,87,84.51,0.42K,1.18%
08/08/2022,ICF,85,83.51,85,83.51,0.59K,2.16%
08/05/2022,ICF,83.2,83.01,83.2,82.2,0.31K,1.22%
08/04/2022,ICF,82.2,83.4,83.4,82.2,0.00K,0.11%
08/03/2022,ICF,82.11,83,83,82.1,0.09K,-0.47%
08/02/2022,ICF,82.5,82.49,82.6,82,0.09K,0.61%
08/01/2022,ICF,82,81.89,82.59,81,0.04K,0.12%
07/29/2022,ICF,81.9,80,82.5,80,0.18K,2.38%
07/28/2022,ICF,80,80,80,79.64,0.02K,0.38%
07/27/2022,ICF,79.7,79.63,80,79.62,0.27K,-0.38%
07/26/2022,ICF,80,79.72,80,79.72,0.02K,-0.10%
07/22/2022,ICF,80.08,80,80.08,79.63,0.08K,0.10%
07/21/2022,ICF,80,80,80,80,0.08K,-0.10%
07/20/2022,ICF,80.08,79.2,81,79.2,2.40K,1.38%
07/19/2022,ICF,78.99,78.65,79.1,78.5,0.30K,-0.63%
07/18/2022,ICF,79.49,79.49,79.49,79.49,0.00K,0.37%
07/15/2022,ICF,79.2,79.5,79.5,79,0.26K,-0.38%
07/14/2022,ICF,79.5,79.99,80,79.2,0.94K,-0.63%
07/13/2022,ICF,80,80,80.39,79.9,0.26K,0.00%
07/12/2022,ICF,80,80,80.4,80,0.17K,-0.50%
07/11/2022,ICF,80.4,80.4,80.4,80.4,0.02K,-0.12%
07/08/2022,ICF,80.5,79.8,80.5,79.8,0.17K,-0.59%
07/07/2022,ICF,80.98,80.2,80.98,80.2,0.40K,0.85%
07/06/2022,ICF,80.3,79.5,80.5,78.6,0.77K,-0.25%
07/05/2022,ICF,80.5,79.5,80.95,79.5,0.08K,-0.59%
07/04/2022,ICF,80.98,80.05,81,79.01,0.18K,-0.02%
07/01/2022,ICF,81,81,81,81,0.08K,1.25%
06/30/2022,ICF,80,81.01,81.01,80,0.33K,-2.91%
06/29/2022,ICF,82.4,82,82.99,81,0.59K,0.00%
06/28/2022,ICF,82.4,82.5,82.5,80.85,0.21K,-1.28%
06/27/2022,ICF,83.47,83.47,83.47,83.47,0.02K,-1.18%
06/24/2022,ICF,84.47,84.45,84.47,84.2,0.15K,0.02%
06/23/2022,ICF,84.45,84.48,84.48,83.5,0.53K,-0.04%
06/22/2022,ICF,84.48,83.01,84.48,83.01,0.52K,0.21%
06/21/2022,ICF,84.3,84,84.3,84,0.20K,0.36%
06/20/2022,ICF,84,84,84.47,84,0.20K,-0.47%
06/17/2022,ICF,84.4,83.01,84.4,83.01,0.55K,1.67%
06/16/2022,ICF,83.01,84.49,84.49,83,0.19K,-1.75%
06/15/2022,ICF,84.49,84.97,84.97,83,0.01K,0.58%
06/14/2022,ICF,84,84,84,83,0.04K,-1.48%
06/13/2022,ICF,85.26,85.26,85.27,84.7,0.06K,0.09%
06/10/2022,ICF,85.18,83.75,85.18,83.75,0.07K,2.38%
06/09/2022,ICF,83.2,83.75,83.75,82.54,0.34K,0.24%
06/08/2022,ICF,83,83.75,83.75,83,0.89K,-0.38%
06/07/2022,ICF,83.32,84.98,85,83,0.88K,-0.51%
06/06/2022,ICF,83.75,84.7,84.97,83,0.35K,0.52%
06/03/2022,ICF,83.32,83.21,85.98,83.2,0.61K,-3.45%
06/01/2022,ICF,86.3,86.25,86.3,85.75,0.17K,-0.12%
05/31/2022,ICF,86.4,86.49,86.49,85.5,0.07K,0.00%
05/30/2022,ICF,86.4,86,86.5,86,0.30K,1.05%
05/27/2022,ICF,85.5,83.95,85.5,83.95,0.89K,1.85%
05/26/2022,ICF,83.95,82.2,83.95,82.2,0.07K,0.00%
05/25/2022,ICF,83.95,83.95,83.95,83,0.13K,-0.06%
05/24/2022,ICF,84,83.95,84,83.95,0.22K,-0.47%
05/23/2022,ICF,84.4,83.9,84.4,83.9,0.79K,0.48%
05/20/2022,ICF,84,83.5,84.5,83,0.39K,0.01%
05/19/2022,ICF,83.99,83.99,83.99,83.99,0.01K,-0.60%
05/18/2022,ICF,84.5,84.5,84.5,84.5,0.00K,0.00%
05/17/2022,ICF,84.5,84.49,84.5,84.49,0.01K,-0.59%
05/16/2022,ICF,85,82.95,85,82.95,0.60K,2.60%
05/13/2022,ICF,82.85,82.7,82.9,82,0.57K,0.06%
05/12/2022,ICF,82.8,80.1,82.8,80.1,0.06K,0.00%
05/11/2022,ICF,82.8,82.9,82.9,82.8,0.25K,-0.12%
05/10/2022,ICF,82.9,80.5,82.9,80.5,0.00K,-0.06%
05/09/2022,ICF,82.95,81.3,82.95,81.3,0.54K,0.00%
05/06/2022,ICF,82.95,82,82.95,80,0.62K,-0.06%
05/05/2022,ICF,83,82.5,83,82.5,0.12K,0.00%
05/04/2022,ICF,83,82,83,82,0.06K,0.00%
04/29/2022,ICF,83,81.5,83,81.5,1.73K,1.84%
04/26/2022,ICF,81.5,80.17,81.5,80.17,0.03K,-0.37%
04/25/2022,ICF,81.8,80,81.8,80,0.06K,-0.12%
04/22/2022,ICF,81.9,82.7,83.5,81,0.29K,-2.37%
04/21/2022,ICF,83.89,82.01,84.5,82.01,1.62K,2.43%
04/20/2022,ICF,81.9,81,82,80,0.20K,1.11%
04/18/2022,ICF,81,79.01,81.5,79.01,2.15K,0.75%
04/15/2022,ICF,80.4,80,80.5,79.8,0.23K,-0.12%
04/14/2022,ICF,80.5,80,81,80,0.26K,0.63%
04/13/2022,ICF,80,80.52,81.5,80,0.25K,-0.65%
04/12/2022,ICF,80.52,81.5,82,80.52,0.28K,-1.80%
04/08/2022,ICF,82,79.8,82,79.8,0.46K,2.50%
04/07/2022,ICF,80,80.8,81.8,80,0.73K,-2.44%
04/06/2022,ICF,82,84.5,84.5,80.5,0.45K,-2.96%
04/05/2022,ICF,84.5,85.74,85.74,84.5,0.14K,-3.41%
04/04/2022,ICF,87.48,87.48,87.48,87.48,0.01K,-0.70%
03/31/2022,ICF,88.1,88.19,88.2,85,0.76K,-0.11%
03/30/2022,ICF,88.2,86.5,88.2,86,0.12K,-0.06%
03/29/2022,ICF,88.25,88,88.3,88,0.03K,0.28%
03/28/2022,ICF,88,88.97,88.97,85.1,1.15K,-0.69%
03/25/2022,ICF,88.61,89,89,87.5,0.18K,0.69%
03/24/2022,ICF,88,88.2,88.2,88,0.25K,-0.23%
03/23/2022,ICF,88.2,88.6,89.85,88.2,0.47K,-2.00%
03/21/2022,ICF,90,88.2,90,88.2,0.51K,1.12%
03/18/2022,ICF,89,90,90,89,0.15K,-0.89%
03/17/2022,ICF,89.8,90,90,89,0.29K,0.17%
03/16/2022,ICF,89.65,89.01,90.5,88.2,0.85K,0.62%
03/15/2022,ICF,89.1,90.95,90.95,89.1,0.31K,-1.00%
03/14/2022,ICF,90,91.9,91.9,90,0.03K,-1.42%
03/11/2022,ICF,91.3,90,91.4,89,1.14K,2.58%
03/10/2022,ICF,89,87.5,89,87.5,0.26K,0.11%
03/09/2022,ICF,88.9,87.48,88.9,86,1.43K,1.60%
03/08/2022,ICF,87.5,85.96,87.5,85.96,1.12K,0.57%
03/07/2022,ICF,87,88.4,88.4,86,0.67K,-1.58%
03/04/2022,ICF,88.4,88,88.9,85.1,2.23K,0.45%
03/03/2022,ICF,88,88.11,89.99,88,0.44K,-1.12%
03/02/2022,ICF,89,91,91,89,0.98K,-2.20%
03/01/2022,ICF,91,90.8,91.8,90.61,0.22K,0.00%
02/28/2022,ICF,91,88.9,92,88.9,1.28K,0.00%
02/25/2022,ICF,91,88.91,91,88.9,0.58K,2.35%
02/24/2022,ICF,88.91,90,90.9,88.9,0.98K,-2.83%
02/23/2022,ICF,91.5,91,91.5,90.9,0.06K,-1.08%
02/22/2022,ICF,92.5,92.49,92.5,92.49,0.04K,-0.43%
02/21/2022,ICF,92.9,91.4,93.99,91.38,1.87K,1.66%
02/18/2022,ICF,91.38,89.98,91.48,89.98,2.63K,1.54%
02/17/2022,ICF,89.99,89.2,90,87,0.33K,-0.45%
02/16/2022,ICF,90.4,89,90.48,89,0.59K,0.56%
02/15/2022,ICF,89.9,88.4,89.9,88.2,0.28K,1.75%
02/14/2022,ICF,88.35,88,89,86.02,0.59K,0.28%
02/11/2022,ICF,88.1,88.1,88.11,88,0.27K,-1.39%
02/10/2022,ICF,89.34,88.06,89.37,87.52,0.38K,0.39%
02/09/2022,ICF,88.99,88.02,89.74,88.02,0.25K,-0.56%
02/08/2022,ICF,89.49,89.99,89.99,87.9,0.56K,0.55%
02/07/2022,ICF,89,90,90,89,0.17K,-0.95%
02/04/2022,ICF,89.85,89.61,90,89.61,0.45K,-0.71%
02/03/2022,ICF,90.49,89.72,90.49,89.61,0.39K,0.86%
02/02/2022,ICF,89.72,90.5,91,89.61,1.12K,-0.86%
02/01/2022,ICF,90.5,87.5,90.5,86.34,0.46K,3.43%
01/31/2022,ICF,87.5,87.5,87.5,87.2,0.25K,-1.69%
01/28/2022,ICF,89,89.01,90,87,1.15K,0.32%
01/27/2022,ICF,88.72,91,91,88.72,0.97K,-2.51%
01/26/2022,ICF,91,91.4,91.4,91,0.03K,-0.44%
01/25/2022,ICF,91.4,91,91.4,88.15,0.57K,-0.11%
01/24/2022,ICF,91.5,91,91.8,91,1.57K,1.67%
01/22/2022,ICF,90,90,90,90,,1.15%
01/21/2022,ICF,88.98,85,88.98,85,3.86K,5.99%
01/20/2022,ICF,83.95,83.83,84,83.83,0.01K,0.13%
01/19/2022,ICF,83.84,80.99,84,80.6,0.57K,4.02%
01/18/2022,ICF,80.6,81,81.35,80.6,0.30K,-0.96%
01/17/2022,ICF,81.38,81,81.38,81,0.08K,0.97%
01/14/2022,ICF,80.6,81.4,81.4,80.11,0.35K,-0.98%
01/13/2022,ICF,81.4,81.49,81.49,80,0.13K,-0.11%
01/12/2022,ICF,81.49,79.6,81.49,79.6,0.53K,0.73%
01/11/2022,ICF,80.9,80.98,80.98,79.6,0.27K,-0.12%
01/10/2022,ICF,81,79.5,81,79.5,0.08K,2.45%
01/07/2022,ICF,79.06,81.48,81.48,79.05,0.42K,-1.15%
01/06/2022,ICF,79.98,79.01,79.98,79,0.62K,-0.02%
01/05/2022,ICF,80,80,80,79,0.23K,0.00%
01/04/2022,ICF,80,80,80.95,79.5,0.24K,0.00%
01/03/2022,ICF,80,80,80,80,0.03K,-1.23%
12/31/2021,ICF,81,81,81.5,79.8,0.86K,1.25%
12/30/2021,ICF,80,79.8,81.4,79.51,0.51K,0.62%
12/29/2021,ICF,79.51,80,81,79.5,0.40K,-2.81%
12/28/2021,ICF,81.81,79.52,81.81,79.5,0.15K,2.91%
12/27/2021,ICF,79.5,78.5,80.5,78.01,1.01K,0.63%
12/24/2021,ICF,79,78.02,79.96,78.02,0.16K,1.28%
12/23/2021,ICF,78,77,80,77,0.56K,0.00%
12/22/2021,ICF,78,78,78.01,78,1.99K,-2.48%
12/21/2021,ICF,79.98,78.01,79.99,78.01,0.02K,2.54%
12/20/2021,ICF,78,78,78,78,0.01K,-2.50%
12/16/2021,ICF,80,79.99,80,79.99,0.01K,0.01%
12/15/2021,ICF,79.99,78.99,79.99,78.99,0.00K,0.76%
12/14/2021,ICF,79.39,78.5,79.39,78.5,0.11K,1.13%
12/13/2021,ICF,78.5,79.5,79.5,78.5,0.01K,0.00%
12/10/2021,ICF,78.5,78.5,78.5,78.5,0.05K,1.29%
12/09/2021,ICF,77.5,77.02,78.5,77,0.61K,0.00%
12/08/2021,ICF,77.5,78,78,77.01,1.17K,-1.15%
12/07/2021,ICF,78.4,79.01,79.01,77.5,3.14K,-2.00%
12/06/2021,ICF,80,79.99,82.49,79,0.13K,0.00%
12/03/2021,ICF,80,80,80,79,0.29K,-1.11%
12/02/2021,ICF,80.9,80.01,80.9,80,0.04K,0.50%
12/01/2021,ICF,80.5,79.51,80.9,79.51,0.03K,-0.62%
11/30/2021,ICF,81,81.1,81.1,81,0.07K,-0.01%
11/29/2021,ICF,81.01,83,84.3,81.01,1.62K,-1.21%
11/26/2021,ICF,82,84.8,84.8,81,0.87K,0.00%
11/25/2021,ICF,82,83,83,82,0.04K,0.00%
11/24/2021,ICF,82,84,85.1,82,0.90K,-2.38%
11/23/2021,ICF,84,79,84.65,79,1.90K,5.03%
11/22/2021,ICF,79.98,78,79.99,78,0.34K,2.54%
11/19/2021,ICF,78,78,79.98,78,0.08K,0.00%
11/18/2021,ICF,78,78,78,78,0.04K,0.78%
11/17/2021,ICF,77.4,78,78,77.1,0.58K,-0.77%
11/16/2021,ICF,78,77.99,78,77.99,0.19K,0.00%
